"","date","code","site","no2","nox","no","pm2.5","nv2.5","v2.5","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"BEX","London Bexley",9.18,9.75375,0.37419,10.9,6.5,4.4,3,250.7,51.46603,0.184806,"Suburban Background"
"5546",2019-08-20 01:00:00,"BEX","London Bexley",8.415,8.98875,0.37419,11.4,6.8,4.6,3.1,242.5,51.46603,0.184806,"Suburban Background"
"5547",2019-08-20 02:00:00,"BEX","London Bexley",8.22375,11.0925,1.87095,10.6,6.7,3.9,3,248.2,51.46603,0.184806,"Suburban Background"
"5548",2019-08-20 03:00:00,"BEX","London Bexley",5.355,6.31125,0.62365,10.7,6.9,3.8,3,251.5,51.46603,0.184806,"Suburban Background"
"5549",2019-08-20 04:00:00,"BEX","London Bexley",11.8575,13.19625,0.87311,NA,NA,NA,2.9,255.6,51.46603,0.184806,"Suburban Background"
"5550",2019-08-20 05:00:00,"BEX","London Bexley",21.0375,26.01,3.24298,10.7,7.7,3,3.3,258.2,51.46603,0.184806,"Suburban Background"
"5551",2019-08-20 06:00:00,"BEX","London Bexley",18.55125,25.05375,4.24082,11.9,9.3,2.6,3.5,268.4,51.46603,0.184806,"Suburban Background"
"5552",2019-08-20 07:00:00,"BEX","London Bexley",13.19625,20.46375,4.73974,10,7.8,2.2,3.7,279.2,51.46603,0.184806,"Suburban Background"
"5553",2019-08-20 08:00:00,"BEX","London Bexley",10.3275,24.8625,9.47948,10.4,7.4,3,4.4,281.1,51.46603,0.184806,"Suburban Background"
"5554",2019-08-20 09:00:00,"BEX","London Bexley",11.0925,18.16875,4.61501,9.5,6.7,2.8,5,285.7,51.46603,0.184806,"Suburban Background"
"5555",2019-08-20 10:00:00,"BEX","London Bexley",8.22375,13.005,3.11825,9.3,4.9,4.4,5.4,286,51.46603,0.184806,"Suburban Background"
"5556",2019-08-20 11:00:00,"BEX","London Bexley",6.69375,11.0925,2.86879,8.6,6.1,2.5,5,293.1,51.46603,0.184806,"Suburban Background"
"5557",2019-08-20 12:00:00,"BEX","London Bexley",5.54625,8.7975,2.12041,7.8,5.4,2.4,4.4,290.6,51.46603,0.184806,"Suburban Background"
"5558",2019-08-20 13:00:00,"BEX","London Bexley",7.45875,11.8575,2.86879,8.5,6.6,1.9,4.2,284.6,51.46603,0.184806,"Suburban Background"
"5559",2019-08-20 14:00:00,"BEX","London Bexley",9.75375,18.36,5.61285,NA,NA,NA,4.4,287.9,51.46603,0.184806,"Suburban Background"
"5560",2019-08-20 15:00:00,"BEX","London Bexley",7.07625,9.945,1.87095,10,6.1,3.9,4.2,289.7,51.46603,0.184806,"Suburban Background"
"5561",2019-08-20 16:00:00,"BEX","London Bexley",8.60625,11.0925,1.62149,NA,NA,NA,3.9,289.1,51.46603,0.184806,"Suburban Background"
"5562",2019-08-20 17:00:00,"BEX","London Bexley",10.3275,12.24,1.2473,8.7,7.1,1.6,3.1,287.9,51.46603,0.184806,"Suburban Background"
"5563",2019-08-20 18:00:00,"BEX","London Bexley",13.19625,14.34375,0.74838,10.1,7,3.1,2.7,274.7,51.46603,0.184806,"Suburban Background"
"5564",2019-08-20 19:00:00,"BEX","London Bexley",24.28875,25.245,0.62365,12.5,9.6,2.9,3,263.4,51.46603,0.184806,"Suburban Background"
"5565",2019-08-20 20:00:00,"BEX","London Bexley",43.41375,45.135,1.12257,16.4,13.5,2.9,2.7,260.3,51.46603,0.184806,"Suburban Background"
"5566",2019-08-20 21:00:00,"BEX","London Bexley",35.38125,36.52875,0.74838,19.7,16.6,3,2.6,253,51.46603,0.184806,"Suburban Background"
"5567",2019-08-20 22:00:00,"BEX","London Bexley",37.1025,38.05875,0.62365,19.9,16.1,3.7,2.6,248.8,51.46603,0.184806,"Suburban Background"
"5568",2019-08-20 23:00:00,"BEX","London Bexley",32.5125,41.6925,5.98704,18.2,14.8,3.3,2.5,250.6,51.46603,0.184806,"Suburban Background"
