"","date","code","site","o3","no2","so2","pm10","nox","no","pm2.5","v2.5","nv10","v10","nv2.5","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"CLL2","London Bloomsbury",38.51701,14.9175,1.86263,NA,26.3925,7.4838,10.1,3.2,NA,NA,6.9,2.6,247.1,51.52229,-0.125889,"Urban Background"
"5546",2019-08-20 01:00:00,"CLL2","London Bloomsbury",41.71013,10.3275,2.12872,NA,21.8025,7.4838,8.6,1.8,NA,NA,6.8,2.8,240.9,51.52229,-0.125889,"Urban Background"
"5547",2019-08-20 02:00:00,"CLL2","London Bloomsbury",42.10927,8.7975,2.12872,NA,19.89,7.23434,9.3,1.7,NA,NA,7.6,2.7,245.3,51.52229,-0.125889,"Urban Background"
"5548",2019-08-20 03:00:00,"CLL2","London Bloomsbury",43.30669,8.60625,2.12872,NA,19.89,7.35907,8.7,1.5,NA,NA,7.2,2.7,247.9,51.52229,-0.125889,"Urban Background"
"5549",2019-08-20 04:00:00,"CLL2","London Bloomsbury",41.51056,9.5625,1.86263,NA,20.84625,7.35907,8.9,1.9,NA,NA,7,2.5,249.3,51.52229,-0.125889,"Urban Background"
"5550",2019-08-20 05:00:00,"CLL2","London Bloomsbury",33.52776,14.34375,1.86263,NA,26.3925,7.85799,7,-0.2,NA,NA,7.2,3.1,259,51.52229,-0.125889,"Urban Background"
"5551",2019-08-20 06:00:00,"CLL2","London Bloomsbury",24.74668,23.14125,2.12872,NA,38.05875,9.72894,7.5,0.1,NA,NA,7.4,2.9,265.5,51.52229,-0.125889,"Urban Background"
"5552",2019-08-20 07:00:00,"CLL2","London Bloomsbury",21.75313,29.835,2.39481,NA,50.29875,13.34611,9,0.6,NA,NA,8.4,3.1,272.6,51.52229,-0.125889,"Urban Background"
"5553",2019-08-20 08:00:00,"CLL2","London Bloomsbury",31.13292,26.775,2.39481,NA,47.0475,13.22138,9,-0.4,NA,NA,9.4,3.3,274.1,51.52229,-0.125889,"Urban Background"
"5554",2019-08-20 09:00:00,"CLL2","London Bloomsbury",39.11572,24.0975,2.6609,NA,44.17875,13.09665,8.4,1.8,NA,NA,6.6,3.9,275.1,51.52229,-0.125889,"Urban Background"
"5555",2019-08-20 10:00:00,"CLL2","London Bloomsbury",58.67358,12.6225,2.6609,NA,26.3925,8.98056,6.1,2.5,NA,NA,3.6,4.4,280.9,51.52229,-0.125889,"Urban Background"
"5556",2019-08-20 11:00:00,"CLL2","London Bloomsbury",60.07057,16.065,2.39481,NA,30.6,9.47948,6,0.5,NA,NA,5.5,4.3,290.4,51.52229,-0.125889,"Urban Background"
"5557",2019-08-20 12:00:00,"CLL2","London Bloomsbury",64.46111,67.51125,NA,NA,86.63625,12.473,9.8,3.5,NA,NA,6.3,4.1,287,51.52229,-0.125889,"Urban Background"
"5558",2019-08-20 13:00:00,"CLL2","London Bloomsbury",68.05337,14.1525,2.6609,NA,27.54,8.7311,6.9,0.1,NA,NA,6.8,3.9,284.6,51.52229,-0.125889,"Urban Background"
"5559",2019-08-20 14:00:00,"CLL2","London Bloomsbury",73.04262,11.475,2.12872,NA,24.0975,8.23218,6.3,2,NA,NA,4.3,4,285.9,51.52229,-0.125889,"Urban Background"
"5560",2019-08-20 15:00:00,"CLL2","London Bloomsbury",76.23574,10.51875,2.92699,NA,22.5675,7.85799,7.4,1,NA,NA,6.4,3.7,283.8,51.52229,-0.125889,"Urban Background"
"5561",2019-08-20 16:00:00,"CLL2","London Bloomsbury",69.05122,19.125,2.6609,NA,31.7475,8.23218,8.7,1.3,NA,NA,7.4,3.5,285.1,51.52229,-0.125889,"Urban Background"
"5562",2019-08-20 17:00:00,"CLL2","London Bloomsbury",66.45681,20.2725,2.39481,NA,33.08625,8.35691,9.6,1.6,NA,NA,8,2.6,285.6,51.52229,-0.125889,"Urban Background"
"5563",2019-08-20 18:00:00,"CLL2","London Bloomsbury",65.45896,19.125,2.39481,NA,30.79125,7.60853,8,1.9,NA,NA,6.1,2.3,268.4,51.52229,-0.125889,"Urban Background"
"5564",2019-08-20 19:00:00,"CLL2","London Bloomsbury",59.67143,23.14125,2.12872,NA,34.425,7.35907,8.1,0.3,NA,NA,7.8,2.4,259.4,51.52229,-0.125889,"Urban Background"
"5565",2019-08-20 20:00:00,"CLL2","London Bloomsbury",44.90325,31.93875,2.12872,NA,43.03125,7.23434,11.5,0.6,NA,NA,10.9,2.4,259.2,51.52229,-0.125889,"Urban Background"
"5566",2019-08-20 21:00:00,"CLL2","London Bloomsbury",31.13292,43.03125,2.39481,NA,54.315,7.35907,14.1,1.9,NA,NA,12.2,2.2,249.2,51.52229,-0.125889,"Urban Background"
"5567",2019-08-20 22:00:00,"CLL2","London Bloomsbury",18.16087,48.38625,2.12872,NA,60.24375,7.73326,13.8,2.2,NA,NA,11.6,2.2,244.4,51.52229,-0.125889,"Urban Background"
"5568",2019-08-20 23:00:00,"CLL2","London Bloomsbury",16.36474,45.9,2.12872,NA,57.94875,7.85799,11.1,0.2,NA,NA,10.9,2.2,229.7,51.52229,-0.125889,"Urban Background"
