"","date","code","site","pm10","nv10","v10","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.6,247.9,51.51895,-0.265617,"Urban Traffic"
"5546",2019-08-20 01:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.7,240.4,51.51895,-0.265617,"Urban Traffic"
"5547",2019-08-20 02:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.5,246.3,51.51895,-0.265617,"Urban Traffic"
"5548",2019-08-20 03:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.4,247.8,51.51895,-0.265617,"Urban Traffic"
"5549",2019-08-20 04:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.4,247.9,51.51895,-0.265617,"Urban Traffic"
"5550",2019-08-20 05:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.8,262,51.51895,-0.265617,"Urban Traffic"
"5551",2019-08-20 06:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.5,263.3,51.51895,-0.265617,"Urban Traffic"
"5552",2019-08-20 07:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.5,257.4,51.51895,-0.265617,"Urban Traffic"
"5553",2019-08-20 08:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.6,254,51.51895,-0.265617,"Urban Traffic"
"5554",2019-08-20 09:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,3.5,268.5,51.51895,-0.265617,"Urban Traffic"
"5555",2019-08-20 10:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,4,282.4,51.51895,-0.265617,"Urban Traffic"
"5556",2019-08-20 11:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,4,286.1,51.51895,-0.265617,"Urban Traffic"
"5557",2019-08-20 12:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,4,289.8,51.51895,-0.265617,"Urban Traffic"
"5558",2019-08-20 13:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,3.9,285.8,51.51895,-0.265617,"Urban Traffic"
"5559",2019-08-20 14:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,3.6,280,51.51895,-0.265617,"Urban Traffic"
"5560",2019-08-20 15:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,3.5,278,51.51895,-0.265617,"Urban Traffic"
"5561",2019-08-20 16:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,3.3,280.9,51.51895,-0.265617,"Urban Traffic"
"5562",2019-08-20 17:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.4,279.6,51.51895,-0.265617,"Urban Traffic"
"5563",2019-08-20 18:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2,258.8,51.51895,-0.265617,"Urban Traffic"
"5564",2019-08-20 19:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.1,252.4,51.51895,-0.265617,"Urban Traffic"
"5565",2019-08-20 20:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.4,270.7,51.51895,-0.265617,"Urban Traffic"
"5566",2019-08-20 21:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.3,270,51.51895,-0.265617,"Urban Traffic"
"5567",2019-08-20 22:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,2.2,259,51.51895,-0.265617,"Urban Traffic"
"5568",2019-08-20 23:00:00,"EA8","Ealing Horn Lane",NA,NA,NA,1.9,227.1,51.51895,-0.265617,"Urban Traffic"
