"","date","code","site","o3","no2","nox","no","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"HIL","London Hillingdon",24.14797,42.075,51.255,5.98704,3.2,248.6,51.49633,-0.460861,"Urban Background"
"5546",2019-08-20 01:00:00,"HIL","London Hillingdon",28.13937,38.82375,46.665,5.11393,3.3,246.3,51.49633,-0.460861,"Urban Background"
"5547",2019-08-20 02:00:00,"HIL","London Hillingdon",24.14797,38.44125,48.195,6.36123,3,253.1,51.49633,-0.460861,"Urban Background"
"5548",2019-08-20 03:00:00,"HIL","London Hillingdon",18.36044,49.725,74.39625,16.09017,2.9,255.2,51.49633,-0.460861,"Urban Background"
"5549",2019-08-20 04:00:00,"HIL","London Hillingdon",2.39484,88.54875,210.94875,79.8272,3.1,267.3,51.49633,-0.460861,"Urban Background"
"5550",2019-08-20 05:00:00,"HIL","London Hillingdon",1.9957,107.865,303.3225,127.47406,3.6,278.4,51.49633,-0.460861,"Urban Background"
"5551",2019-08-20 06:00:00,"HIL","London Hillingdon",6.98495,90.6525,244.22625,100.15819,3,265.9,51.49633,-0.460861,"Urban Background"
"5552",2019-08-20 07:00:00,"HIL","London Hillingdon",23.34969,53.55,118.00125,42.03401,2.9,259.7,51.49633,-0.460861,"Urban Background"
"5553",2019-08-20 08:00:00,"HIL","London Hillingdon",45.70153,13.3875,23.3325,6.48596,2.9,257.5,51.49633,-0.460861,"Urban Background"
"5554",2019-08-20 09:00:00,"HIL","London Hillingdon",54.28304,11.66625,21.42,6.36123,3.4,264.6,51.49633,-0.460861,"Urban Background"
"5555",2019-08-20 10:00:00,"HIL","London Hillingdon",65.45896,7.45875,12.6225,3.36771,4.3,274.3,51.49633,-0.460861,"Urban Background"
"5556",2019-08-20 11:00:00,"HIL","London Hillingdon",69.25079,10.3275,17.2125,4.49028,4.8,288.3,51.49633,-0.460861,"Urban Background"
"5557",2019-08-20 12:00:00,"HIL","London Hillingdon",71.64563,8.0325,15.10875,4.61501,4.9,292.1,51.49633,-0.460861,"Urban Background"
"5558",2019-08-20 13:00:00,"HIL","London Hillingdon",73.04262,15.87375,27.1575,7.35907,4.5,286.9,51.49633,-0.460861,"Urban Background"
"5559",2019-08-20 14:00:00,"HIL","London Hillingdon",71.8452,23.90625,40.35375,10.72678,4.2,279.9,51.49633,-0.460861,"Urban Background"
"5560",2019-08-20 15:00:00,"HIL","London Hillingdon",66.25724,34.8075,58.71375,15.59125,4.5,283.5,51.49633,-0.460861,"Urban Background"
"5561",2019-08-20 16:00:00,"HIL","London Hillingdon",78.43101,11.0925,23.90625,8.35691,4.1,284,51.49633,-0.460861,"Urban Background"
"5562",2019-08-20 17:00:00,"HIL","London Hillingdon",73.24219,11.8575,24.48,8.23218,2.8,276.6,51.49633,-0.460861,"Urban Background"
"5563",2019-08-20 18:00:00,"HIL","London Hillingdon",62.26584,25.6275,37.485,7.73326,2.2,253.3,51.49633,-0.460861,"Urban Background"
"5564",2019-08-20 19:00:00,"HIL","London Hillingdon",18.56001,105.1875,179.58375,48.51997,2.7,263.6,51.49633,-0.460861,"Urban Background"
"5565",2019-08-20 20:00:00,"HIL","London Hillingdon",2.79398,131.9625,230.45625,64.23595,2.9,267.5,51.49633,-0.460861,"Urban Background"
"5566",2019-08-20 21:00:00,"HIL","London Hillingdon",4.19097,115.8975,205.4025,58.37364,2.5,268.8,51.49633,-0.460861,"Urban Background"
"5567",2019-08-20 22:00:00,"HIL","London Hillingdon",9.57936,85.68,124.695,25.44492,2.5,249.5,51.49633,-0.460861,"Urban Background"
"5568",2019-08-20 23:00:00,"HIL","London Hillingdon",11.57506,71.71875,98.685,17.58693,2.3,245.8,51.49633,-0.460861,"Urban Background"
