"","date","code","site","no2","nox","no","ws","wd","pm2.5","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"HORS","London Westminster",12.81375,12.81375,0,2.5,243.9,19,51.49467,-0.131931,"Urban Background"
"5546",2019-08-20 01:00:00,"HORS","London Westminster",12.43125,12.43125,0,2.6,235.9,14,51.49467,-0.131931,"Urban Background"
"5547",2019-08-20 02:00:00,"HORS","London Westminster",8.60625,8.60625,0,2.4,240.7,15,51.49467,-0.131931,"Urban Background"
"5548",2019-08-20 03:00:00,"HORS","London Westminster",8.22375,8.22375,0,2.4,242.2,19,51.49467,-0.131931,"Urban Background"
"5549",2019-08-20 04:00:00,"HORS","London Westminster",8.98875,9.75375,0.49892,2.3,241.9,20,51.49467,-0.131931,"Urban Background"
"5550",2019-08-20 05:00:00,"HORS","London Westminster",14.1525,15.49125,0.87311,2.8,257,21,51.49467,-0.131931,"Urban Background"
"5551",2019-08-20 06:00:00,"HORS","London Westminster",19.89,23.715,2.4946,2.7,262.9,21,51.49467,-0.131931,"Urban Background"
"5552",2019-08-20 07:00:00,"HORS","London Westminster",24.8625,33.46875,5.61285,2.6,262.9,22,51.49467,-0.131931,"Urban Background"
"5553",2019-08-20 08:00:00,"HORS","London Westminster",29.26125,43.2225,9.10529,2.6,262.4,34,51.49467,-0.131931,"Urban Background"
"5554",2019-08-20 09:00:00,"HORS","London Westminster",20.655,29.4525,5.73758,3.4,271.6,27,51.49467,-0.131931,"Urban Background"
"5555",2019-08-20 10:00:00,"HORS","London Westminster",24.28875,35.38125,7.23434,4.2,280.9,19,51.49467,-0.131931,"Urban Background"
"5556",2019-08-20 11:00:00,"HORS","London Westminster",17.2125,23.52375,4.11609,4.2,288.4,31,51.49467,-0.131931,"Urban Background"
"5557",2019-08-20 12:00:00,"HORS","London Westminster",17.9775,21.61125,2.36987,4,286.8,36,51.49467,-0.131931,"Urban Background"
"5558",2019-08-20 13:00:00,"HORS","London Westminster",27.1575,38.25,7.23434,3.9,285.8,24,51.49467,-0.131931,"Urban Background"
"5559",2019-08-20 14:00:00,"HORS","London Westminster",21.61125,29.26125,4.9892,3.8,285.2,20,51.49467,-0.131931,"Urban Background"
"5560",2019-08-20 15:00:00,"HORS","London Westminster",26.3925,32.32125,3.86663,3.7,281.9,22,51.49467,-0.131931,"Urban Background"
"5561",2019-08-20 16:00:00,"HORS","London Westminster",28.305,33.85125,3.61717,3.5,285.8,19,51.49467,-0.131931,"Urban Background"
"5562",2019-08-20 17:00:00,"HORS","London Westminster",25.43625,30.6,3.36771,2.5,284.9,21,51.49467,-0.131931,"Urban Background"
"5563",2019-08-20 18:00:00,"HORS","London Westminster",33.08625,39.58875,4.24082,2.3,267.8,22,51.49467,-0.131931,"Urban Background"
"5564",2019-08-20 19:00:00,"HORS","London Westminster",31.55625,32.5125,0.62365,2.4,256.3,28,51.49467,-0.131931,"Urban Background"
"5565",2019-08-20 20:00:00,"HORS","London Westminster",42.075,42.075,0,2.3,261.7,24,51.49467,-0.131931,"Urban Background"
"5566",2019-08-20 21:00:00,"HORS","London Westminster",40.545,40.545,0,2.1,250.2,21,51.49467,-0.131931,"Urban Background"
"5567",2019-08-20 22:00:00,"HORS","London Westminster",37.8675,37.8675,0,2.2,241.7,27,51.49467,-0.131931,"Urban Background"
"5568",2019-08-20 23:00:00,"HORS","London Westminster",29.07,29.26125,0.12473,2.2,221,23,51.49467,-0.131931,"Urban Background"
