"","date","code","site","o3","no2","nox","no","pm2.5","nv2.5","v2.5","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"LON6","London Eltham",44.10497,9.37125,11.28375,1.2473,3.7,3.4,0.3,2.5,248.9,51.45258,0.070766,"Suburban Background"
"5546",2019-08-20 01:00:00,"LON6","London Eltham",44.70368,7.45875,8.415,0.62365,5.1,3.8,1.3,2.6,242.9,51.45258,0.070766,"Suburban Background"
"5547",2019-08-20 02:00:00,"LON6","London Eltham",45.30239,6.31125,8.0325,1.12257,5.5,4.2,1.3,2.5,248.2,51.45258,0.070766,"Suburban Background"
"5548",2019-08-20 03:00:00,"LON6","London Eltham",42.90755,7.07625,9.18,1.37203,5.5,3.5,2,2.5,251.1,51.45258,0.070766,"Suburban Background"
"5549",2019-08-20 04:00:00,"LON6","London Eltham",NA,NA,NA,NA,NA,NA,NA,2.4,254.2,51.45258,0.070766,"Suburban Background"
"5550",2019-08-20 05:00:00,"LON6","London Eltham",29.53636,19.5075,22.75875,2.12041,4.1,4.8,-0.7,2.8,259.8,51.45258,0.070766,"Suburban Background"
"5551",2019-08-20 06:00:00,"LON6","London Eltham",34.52561,18.55125,23.715,3.36771,3.9,5.5,-1.6,2.8,268.7,51.45258,0.070766,"Suburban Background"
"5552",2019-08-20 07:00:00,"LON6","London Eltham",37.71873,17.40375,22.75875,3.49244,6.3,6.7,-0.4,3.2,278.3,51.45258,0.070766,"Suburban Background"
"5553",2019-08-20 08:00:00,"LON6","London Eltham",49.29379,11.8575,16.63875,3.11825,6.8,8.2,-1.4,3.8,281.4,51.45258,0.070766,"Suburban Background"
"5554",2019-08-20 09:00:00,"LON6","London Eltham",NA,13.3875,17.9775,2.99352,5.1,4.9,0.2,4.3,281.6,51.45258,0.070766,"Suburban Background"
"5555",2019-08-20 10:00:00,"LON6","London Eltham",NA,13.77,17.78625,2.61933,3.9,3.7,0.2,4.6,282.1,51.45258,0.070766,"Suburban Background"
"5556",2019-08-20 11:00:00,"LON6","London Eltham",66.45681,9.5625,12.24,1.74622,5.2,6.3,-1.1,4.3,290.8,51.45258,0.070766,"Suburban Background"
"5557",2019-08-20 12:00:00,"LON6","London Eltham",71.64563,8.98875,11.66625,1.74622,6.1,4.9,1.2,4,287.4,51.45258,0.070766,"Suburban Background"
"5558",2019-08-20 13:00:00,"LON6","London Eltham",77.43316,8.7975,11.8575,1.99568,10.5,7.8,2.7,3.9,283.4,51.45258,0.070766,"Suburban Background"
"5559",2019-08-20 14:00:00,"LON6","London Eltham",NA,NA,NA,NA,NA,NA,NA,3.9,285.9,51.45258,0.070766,"Suburban Background"
"5560",2019-08-20 15:00:00,"LON6","London Eltham",83.22069,10.71,13.77,1.99568,7.1,1.2,5.9,3.7,285.6,51.45258,0.070766,"Suburban Background"
"5561",2019-08-20 16:00:00,"LON6","London Eltham",83.22069,12.6225,14.9175,1.49676,6.5,5.3,1.2,3.4,285.7,51.45258,0.070766,"Suburban Background"
"5562",2019-08-20 17:00:00,"LON6","London Eltham",78.83015,13.77,16.4475,1.74622,5.2,5.6,-0.4,2.7,286.5,51.45258,0.070766,"Suburban Background"
"5563",2019-08-20 18:00:00,"LON6","London Eltham",72.64348,11.8575,14.1525,1.49676,7.5,6.7,0.8,2.3,269.6,51.45258,0.070766,"Suburban Background"
"5564",2019-08-20 19:00:00,"LON6","London Eltham",62.06627,18.36,20.655,1.49676,7.8,6.8,1,2.5,262.1,51.45258,0.070766,"Suburban Background"
"5565",2019-08-20 20:00:00,"LON6","London Eltham",39.11572,31.365,33.66,1.49676,10.3,9.9,0.4,2.3,256.3,51.45258,0.070766,"Suburban Background"
"5566",2019-08-20 21:00:00,"LON6","London Eltham",26.14367,37.8675,40.1625,1.49676,12.8,10.5,2.3,2.2,248.2,51.45258,0.070766,"Suburban Background"
"5567",2019-08-20 22:00:00,"LON6","London Eltham",25.54496,38.6325,41.50125,1.87095,11.9,12.8,-0.9,2.2,243.8,51.45258,0.070766,"Suburban Background"
"5568",2019-08-20 23:00:00,"LON6","London Eltham",32.72948,31.365,34.0425,1.74622,12,9.8,2.2,2.1,238.1,51.45258,0.070766,"Suburban Background"
