"","date","code","site","o3","no2","co","so2","pm10","nox","no","pm2.5","nv10","v10","nv2.5","v2.5","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"MY1","London Marylebone Road",19.75743,37.1025,0.500606,NA,18,74.77875,24.57181,8,16.6,1.5,7.3,0.7,2.6,247.9,51.52253,-0.154611,"Urban Traffic"
"5546",2019-08-20 01:00:00,"MY1","London Marylebone Road",25.74453,27.34875,0.442396,NA,15.6,52.785,16.58909,5.6,14.1,1.5,6.1,-0.5,2.7,240.4,51.52253,-0.154611,"Urban Traffic"
"5547",2019-08-20 02:00:00,"MY1","London Marylebone Road",25.14582,32.13,0.442396,NA,20.2,64.45125,21.07937,6.7,19.6,0.6,7.3,-0.7,2.5,246.3,51.52253,-0.154611,"Urban Traffic"
"5548",2019-08-20 03:00:00,"MY1","London Marylebone Road",23.9484,34.0425,0.430754,NA,15.7,73.0575,25.44492,6,15.5,0.2,6,0,2.4,247.8,51.52253,-0.154611,"Urban Traffic"
"5549",2019-08-20 04:00:00,"MY1","London Marylebone Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,247.9,51.52253,-0.154611,"Urban Traffic"
"5550",2019-08-20 05:00:00,"MY1","London Marylebone Road",7.38409,57.7575,0.593742,NA,31.7,177.48,78.08098,10.4,31.3,0.4,10.9,-0.5,2.8,262,51.52253,-0.154611,"Urban Traffic"
"5551",2019-08-20 06:00:00,"MY1","London Marylebone Road",2.99355,78.03,0.780014,4.52353,25.1,315.945,155.16412,10.4,26.4,-1.3,11.8,-1.4,2.5,263.3,51.52253,-0.154611,"Urban Traffic"
"5552",2019-08-20 07:00:00,"MY1","London Marylebone Road",4.19097,68.65875,0.721804,4.25744,21.4,280.56375,138.20084,8.5,21.6,-0.2,9.8,-1.3,2.5,257.4,51.52253,-0.154611,"Urban Traffic"
"5553",2019-08-20 08:00:00,"MY1","London Marylebone Road",13.9699,65.4075,0.547174,NA,23,173.84625,70.72191,8.4,22.9,0.1,8.3,0.1,2.6,254,51.52253,-0.154611,"Urban Traffic"
"5554",2019-08-20 09:00:00,"MY1","London Marylebone Road",21.55356,53.74125,0.488964,NA,19.7,117.61875,41.65982,5.6,16.7,3,5,0.6,3.5,268.5,51.52253,-0.154611,"Urban Traffic"
"5555",2019-08-20 10:00:00,"MY1","London Marylebone Road",20.75528,72.10125,0.605384,2.12872,17.3,203.8725,85.93897,8,15.5,1.9,6.3,1.8,4,282.4,51.52253,-0.154611,"Urban Traffic"
"5556",2019-08-20 11:00:00,"MY1","London Marylebone Road",25.34539,70.18875,0.5821,NA,17.8,179.20125,71.0961,8.5,16,1.9,7.8,0.7,4,286.1,51.52253,-0.154611,"Urban Traffic"
"5557",2019-08-20 12:00:00,"MY1","London Marylebone Road",37.31959,46.665,0.558816,NA,19.3,104.61375,37.79319,8,18.9,0.4,8.5,-0.5,4,289.8,51.52253,-0.154611,"Urban Traffic"
"5558",2019-08-20 13:00:00,"MY1","London Marylebone Road",28.73808,66.9375,0.686878,NA,34.9,187.99875,78.95409,8.6,33.1,1.8,9.8,-1.2,3.9,285.8,51.52253,-0.154611,"Urban Traffic"
"5559",2019-08-20 14:00:00,"MY1","London Marylebone Road",29.33679,NA,0.768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,280,51.52253,-0.154611,"Urban Traffic"
"5560",2019-08-20 15:00:00,"MY1","London Marylebone Road",37.31959,NA,0.710162,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,278,51.52253,-0.154611,"Urban Traffic"
"5561",2019-08-20 16:00:00,"MY1","London Marylebone Road",40.91185,NA,0.721804,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,280.9,51.52253,-0.154611,"Urban Traffic"
"5562",2019-08-20 17:00:00,"MY1","London Marylebone Road",32.52991,NA,0.721804,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,279.6,51.52253,-0.154611,"Urban Traffic"
"5563",2019-08-20 18:00:00,"MY1","London Marylebone Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,258.8,51.52253,-0.154611,"Urban Traffic"
"5564",2019-08-20 19:00:00,"MY1","London Marylebone Road",21.9527,64.06875,0.710162,NA,23.5,105.1875,26.81695,11.6,24,-0.5,12.9,-1.3,2.1,252.4,51.52253,-0.154611,"Urban Traffic"
"5565",2019-08-20 20:00:00,"MY1","London Marylebone Road",9.57936,80.325,0.81494,NA,29.7,165.04875,55.25539,15.8,29.9,-0.2,17,-1.2,2.4,270.7,51.52253,-0.154611,"Urban Traffic"
"5566",2019-08-20 21:00:00,"MY1","London Marylebone Road",3.79183,88.54875,0.791656,0.79827,27.4,188.38125,65.10906,13.4,27.5,-0.1,15.5,-2.1,2.3,270,51.52253,-0.154611,"Urban Traffic"
"5567",2019-08-20 22:00:00,"MY1","London Marylebone Road",3.39269,77.83875,0.69852,0.53218,26.9,167.72625,58.6231,12.3,25.6,1.3,13.2,-0.9,2.2,259,51.52253,-0.154611,"Urban Traffic"
"5568",2019-08-20 23:00:00,"MY1","London Marylebone Road",2.99355,76.8825,0.81494,1.24175,24.7,166.96125,58.74783,11.7,24.6,0.1,12.4,-0.7,1.9,227.1,51.52253,-0.154611,"Urban Traffic"
