"","date","code","site","pm2.5","nv2.5","v2.5","ws","wd","latitude","longitude","site.type"
"5545",2019-08-20 00:00:00,"TED2","London Teddington Bushy Park",6.4,5,1.4,2.5,244.1,51.425286,-0.345606,"Urban Background"
"5546",2019-08-20 01:00:00,"TED2","London Teddington Bushy Park",6.9,5.6,1.3,2.5,238.8,51.425286,-0.345606,"Urban Background"
"5547",2019-08-20 02:00:00,"TED2","London Teddington Bushy Park",5.4,5.2,0.2,2.3,244.8,51.425286,-0.345606,"Urban Background"
"5548",2019-08-20 03:00:00,"TED2","London Teddington Bushy Park",5.9,4.5,1.4,2.2,246,51.425286,-0.345606,"Urban Background"
"5549",2019-08-20 04:00:00,"TED2","London Teddington Bushy Park",5.9,4.2,1.7,2.2,245.2,51.425286,-0.345606,"Urban Background"
"5550",2019-08-20 05:00:00,"TED2","London Teddington Bushy Park",4.2,4.4,-0.2,2.6,266.8,51.425286,-0.345606,"Urban Background"
"5551",2019-08-20 06:00:00,"TED2","London Teddington Bushy Park",6.5,7.1,-0.6,2.6,263.4,51.425286,-0.345606,"Urban Background"
"5552",2019-08-20 07:00:00,"TED2","London Teddington Bushy Park",9.6,8.8,0.8,2.4,255.7,51.425286,-0.345606,"Urban Background"
"5553",2019-08-20 08:00:00,"TED2","London Teddington Bushy Park",8.7,8.3,0.4,2.4,255.8,51.425286,-0.345606,"Urban Background"
"5554",2019-08-20 09:00:00,"TED2","London Teddington Bushy Park",7.8,6.9,0.9,3.4,271.6,51.425286,-0.345606,"Urban Background"
"5555",2019-08-20 10:00:00,"TED2","London Teddington Bushy Park",10.3,7.4,2.9,4.2,282.9,51.425286,-0.345606,"Urban Background"
"5556",2019-08-20 11:00:00,"TED2","London Teddington Bushy Park",9.9,7.3,2.6,4.3,285.6,51.425286,-0.345606,"Urban Background"
"5557",2019-08-20 12:00:00,"TED2","London Teddington Bushy Park",5.1,4.5,0.6,4.2,287.8,51.425286,-0.345606,"Urban Background"
"5558",2019-08-20 13:00:00,"TED2","London Teddington Bushy Park",11.8,7.6,4.2,4,288,51.425286,-0.345606,"Urban Background"
"5559",2019-08-20 14:00:00,"TED2","London Teddington Bushy Park",6.7,6.9,-0.2,3.8,284.6,51.425286,-0.345606,"Urban Background"
"5560",2019-08-20 15:00:00,"TED2","London Teddington Bushy Park",5.7,5.3,0.4,3.8,283.2,51.425286,-0.345606,"Urban Background"
"5561",2019-08-20 16:00:00,"TED2","London Teddington Bushy Park",8.1,7,1.1,3.6,287.5,51.425286,-0.345606,"Urban Background"
"5562",2019-08-20 17:00:00,"TED2","London Teddington Bushy Park",10,8.2,1.8,2.5,284,51.425286,-0.345606,"Urban Background"
"5563",2019-08-20 18:00:00,"TED2","London Teddington Bushy Park",6.9,6.1,0.8,2.1,267.5,51.425286,-0.345606,"Urban Background"
"5564",2019-08-20 19:00:00,"TED2","London Teddington Bushy Park",8.7,7.9,0.8,2.5,260.1,51.425286,-0.345606,"Urban Background"
"5565",2019-08-20 20:00:00,"TED2","London Teddington Bushy Park",10.1,7.7,2.4,2.3,267,51.425286,-0.345606,"Urban Background"
"5566",2019-08-20 21:00:00,"TED2","London Teddington Bushy Park",11.2,9.6,1.6,2.3,261.7,51.425286,-0.345606,"Urban Background"
"5567",2019-08-20 22:00:00,"TED2","London Teddington Bushy Park",10.8,9.6,1.2,2.3,245.8,51.425286,-0.345606,"Urban Background"
"5568",2019-08-20 23:00:00,"TED2","London Teddington Bushy Park",13,10.7,2.3,2,227.7,51.425286,-0.345606,"Urban Background"
