"","date","code","site","no","no2","nox","pm10","ws","wd","latitude","longitude","site_type"
"1",2020-04-14 00:00:00,"BR11","Bristol Temple Way",1.87095,7.07625,9.945,16.425,3.7,78.7,51.457968,-2.583975,"Urban Traffic"
"2",2020-04-14 01:00:00,"BR11","Bristol Temple Way",1.12257,4.9725,6.69375,19.324,3.1,75.4,51.457968,-2.583975,"Urban Traffic"
"3",2020-04-14 02:00:00,"BR11","Bristol Temple Way",1.2473,4.78125,6.69375,17.392,3.2,71,51.457968,-2.583975,"Urban Traffic"
"4",2020-04-14 03:00:00,"BR11","Bristol Temple Way",2.36987,8.7975,12.43125,16.425,2.3,71.7,51.457968,-2.583975,"Urban Traffic"
"5",2020-04-14 04:00:00,"BR11","Bristol Temple Way",8.10745,23.90625,36.3375,21.256,2.3,62.6,51.457968,-2.583975,"Urban Traffic"
"6",2020-04-14 05:00:00,"BR11","Bristol Temple Way",32.67926,53.74125,103.84875,27.054,2.7,71.6,51.457968,-2.583975,"Urban Traffic"
"7",2020-04-14 06:00:00,"BR11","Bristol Temple Way",51.88768,67.7025,147.2625,37.682,3.4,85,51.457968,-2.583975,"Urban Traffic"
"8",2020-04-14 07:00:00,"BR11","Bristol Temple Way",42.4082,58.33125,123.35625,165.22,3.6,92.5,51.457968,-2.583975,"Urban Traffic"
"9",2020-04-14 08:00:00,"BR11","Bristol Temple Way",16.46436,26.20125,51.44625,39.614,3.9,95.7,51.457968,-2.583975,"Urban Traffic"
"10",2020-04-14 09:00:00,"BR11","Bristol Temple Way",10.85151,20.46375,37.1025,25.121,3.8,91.9,51.457968,-2.583975,"Urban Traffic"
"11",2020-04-14 10:00:00,"BR11","Bristol Temple Way",17.33747,28.305,54.88875,50.242,3.8,88,51.457968,-2.583975,"Urban Traffic"
"12",2020-04-14 11:00:00,"BR11","Bristol Temple Way",17.4622,23.90625,50.68125,26.087,3.5,91.8,51.457968,-2.583975,"Urban Traffic"
"13",2020-04-14 12:00:00,"BR11","Bristol Temple Way",16.71382,25.43625,51.06375,21.256,3.1,98.7,51.457968,-2.583975,"Urban Traffic"
"14",2020-04-14 13:00:00,"BR11","Bristol Temple Way",9.35475,16.63875,30.9825,20.29,2.8,94.5,51.457968,-2.583975,"Urban Traffic"
"15",2020-04-14 14:00:00,"BR11","Bristol Temple Way",10.60205,13.005,29.26125,14.493,2.7,96.3,51.457968,-2.583975,"Urban Traffic"
"16",2020-04-14 15:00:00,"BR11","Bristol Temple Way",11.2257,18.7425,35.955,21.256,2.6,95.3,51.457968,-2.583975,"Urban Traffic"
"17",2020-04-14 16:00:00,"BR11","Bristol Temple Way",9.60421,20.46375,35.19,20.29,2.5,95.1,51.457968,-2.583975,"Urban Traffic"
"18",2020-04-14 17:00:00,"BR11","Bristol Temple Way",14.21922,28.49625,50.29875,22.223,2.3,93.2,51.457968,-2.583975,"Urban Traffic"
"19",2020-04-14 18:00:00,"BR11","Bristol Temple Way",8.85583,30.02625,43.605,25.121,2.1,80.7,51.457968,-2.583975,"Urban Traffic"
"20",2020-04-14 19:00:00,"BR11","Bristol Temple Way",10.35259,37.29375,53.1675,22.223,2.5,88,51.457968,-2.583975,"Urban Traffic"
"21",2020-04-14 20:00:00,"BR11","Bristol Temple Way",7.4838,50.49,61.965,35.749,2.7,89.2,51.457968,-2.583975,"Urban Traffic"
"22",2020-04-14 21:00:00,"BR11","Bristol Temple Way",4.73974,42.4575,49.725,34.783,2.7,102.1,51.457968,-2.583975,"Urban Traffic"
"23",2020-04-14 22:00:00,"BR11","Bristol Temple Way",1.2473,35.955,37.8675,22.223,2.3,124.4,51.457968,-2.583975,"Urban Traffic"
"24",2020-04-14 23:00:00,"BR11","Bristol Temple Way",0.62365,29.4525,30.40875,NA,1.9,102.1,51.457968,-2.583975,"Urban Traffic"
